Start IP,End IP,Country Code,Country,Region,City,CIDR
39.32.94.0,39.32.94.255,PK,Pakistan,Islamabad,Islamabad,39.32.94.0/24
39.32.95.0,39.32.97.255,PK,Pakistan,Punjab,Rawalpindi,39.32.95.0/24
39.32.98.0,39.32.98.255,PK,Pakistan,Islamabad,Islamabad,39.32.98.0/24
39.32.99.0,39.32.104.255,PK,Pakistan,Punjab,Rawalpindi,39.32.99.0/24
39.32.105.0,39.32.105.255,PK,Pakistan,Islamabad,Islamabad,39.32.105.0/24
39.32.106.0,39.32.122.255,PK,Pakistan,Punjab,Rawalpindi,39.32.106.0/23
39.32.123.0,39.32.124.255,PK,Pakistan,Islamabad,Islamabad,39.32.123.0/24
39.32.125.0,39.32.131.255,PK,Pakistan,Punjab,Rawalpindi,39.32.125.0/24
39.32.132.0,39.32.132.255,PK,Pakistan,Islamabad,Islamabad,39.32.132.0/24
39.32.133.0,39.32.133.255,PK,Pakistan,Punjab,Rawalpindi,39.32.133.0/24
39.32.134.0,39.32.134.255,PK,Pakistan,Islamabad,Islamabad,39.32.134.0/24
39.32.135.0,39.32.147.255,PK,Pakistan,Punjab,Rawalpindi,39.32.135.0/24
39.32.148.0,39.32.148.255,PK,Pakistan,Punjab,Kahuta,39.32.148.0/24
39.32.149.0,39.32.155.255,PK,Pakistan,Punjab,Rawalpindi,39.32.149.0/24
39.32.156.0,39.32.156.255,PK,Pakistan,Islamabad,Islamabad,39.32.156.0/24
39.32.157.0,39.32.161.255,PK,Pakistan,Punjab,Rawalpindi,39.32.157.0/24
39.32.162.0,39.32.162.255,PK,Pakistan,Islamabad,Islamabad,39.32.162.0/24
39.32.163.0,39.32.166.255,PK,Pakistan,Punjab,Rawalpindi,39.32.163.0/24
39.32.167.0,39.32.168.255,PK,Pakistan,Islamabad,Islamabad,39.32.167.0/24
39.32.169.0,39.32.171.255,PK,Pakistan,Punjab,Rawalpindi,39.32.169.0/24
39.32.172.0,39.32.172.255,PK,Pakistan,Islamabad,Islamabad,39.32.172.0/24
39.32.173.0,39.32.173.255,PK,Pakistan,Punjab,Rawalpindi,39.32.173.0/24
39.32.174.0,39.32.174.255,PK,Pakistan,Islamabad,Islamabad,39.32.174.0/24
39.32.175.0,39.32.177.255,PK,Pakistan,Punjab,Rawalpindi,39.32.175.0/24
39.32.178.0,39.32.178.255,PK,Pakistan,Islamabad,Islamabad,39.32.178.0/24
39.32.179.0,39.32.186.255,PK,Pakistan,Punjab,Rawalpindi,39.32.179.0/24
39.32.187.0,39.32.187.255,PK,Pakistan,Islamabad,Islamabad,39.32.187.0/24
39.32.188.0,39.32.188.255,PK,Pakistan,Punjab,Rawalpindi,39.32.188.0/24
39.32.189.0,39.32.189.255,PK,Pakistan,Islamabad,Islamabad,39.32.189.0/24
39.32.190.0,39.32.193.255,PK,Pakistan,Punjab,Rawalpindi,39.32.190.0/23
39.32.194.0,39.32.194.255,PK,Pakistan,Islamabad,Islamabad,39.32.194.0/24
39.32.195.0,39.32.195.255,PK,Pakistan,Punjab,Rawalpindi,39.32.195.0/24
39.32.196.0,39.32.196.255,PK,Pakistan,Islamabad,Islamabad,39.32.196.0/24
39.32.197.0,39.32.225.255,PK,Pakistan,Punjab,Rawalpindi,39.32.197.0/24
39.32.226.0,39.32.226.255,PK,Pakistan,Islamabad,Islamabad,39.32.226.0/24
39.32.227.0,39.32.228.255,PK,Pakistan,Punjab,Rawalpindi,39.32.227.0/24
